year,model,NSW,VIC,QLD,SA,WA,TAS,NT,AUS,Melbourne,Sydney,Brisbane,Darwin,Perth,Adelaide,Hobart
1980,BARRA-R2,7.59,1.62,7.37,3.45,6.41,3.02,2.93,5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,BARRA-R2,2.68,0.13,4.44,1.52,7.84,1.2,12.04,6.18,0.0,0.0,0.0,22.0,0.0,0.0,0.0
1982,BARRA-R2,6.92,1.42,1.82,8.31,2.64,1.1,1.1,3.31,0.0,0.0,0.0,0.0,0.0,7.0,0.0
1983,BARRA-R2,2.31,1.82,9.63,1.01,2.77,0.0,4.52,4.3,0.0,0.0,0.0,23.0,0.0,0.0,0.0
1984,BARRA-R2,0.61,0.01,1.26,0.0,1.73,0.0,1.32,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,BARRA-R2,0.81,1.3,8.39,2.83,15.05,2.0,11.23,9.31,0.0,0.0,0.0,20.0,6.0,0.0,0.0
1986,BARRA-R2,6.11,0.97,8.3,3.04,7.08,0.0,10.93,7.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,BARRA-R2,1.03,4.72,4.0,0.27,1.52,2.04,2.96,2.22,6.0,0.0,7.0,7.0,0.0,0.0,0.0
1988,BARRA-R2,1.74,2.91,16.37,1.9,10.04,0.17,18.34,10.72,0.0,0.0,0.0,42.0,0.0,0.0,0.0
1989,BARRA-R2,0.02,1.69,1.62,0.45,0.19,0.94,1.08,0.74,0.0,0.0,0.0,0.0,0.0,9.0,0.0
1990,BARRA-R2,1.94,0.96,3.81,1.97,15.47,0.83,24.71,10.78,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1991,BARRA-R2,2.86,0.44,3.95,3.18,3.48,0.0,3.32,3.33,0.0,0.0,6.0,0.0,0.0,0.0,0.0
1992,BARRA-R2,0.88,0.25,2.96,0.11,4.16,0.0,10.13,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,BARRA-R2,0.28,3.28,1.85,3.69,1.21,0.0,2.93,1.92,0.0,0.0,0.0,0.0,0.0,6.0,0.0
1994,BARRA-R2,7.35,6.89,4.52,4.89,6.46,2.73,3.36,5.35,9.0,0.0,6.0,0.0,0.0,7.0,0.0
1995,BARRA-R2,7.83,3.81,5.8,2.73,2.99,0.03,4.81,4.41,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,BARRA-R2,0.19,0.0,8.91,0.48,3.73,0.0,12.05,5.43,0.0,0.0,7.0,0.0,0.0,0.0,0.0
1997,BARRA-R2,5.36,3.58,0.43,4.4,0.58,1.18,1.2,1.73,6.0,0.0,0.0,0.0,0.0,6.0,0.0
1998,BARRA-R2,0.7,0.39,7.91,1.83,10.89,0.0,7.35,6.97,0.0,0.0,12.0,6.0,7.0,6.0,0.0
1999,BARRA-R2,0.55,2.37,0.83,2.35,1.06,0.82,3.42,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,BARRA-R2,1.01,3.79,0.95,0.51,1.51,1.7,1.21,1.22,7.0,0.0,0.0,0.0,0.0,6.0,0.0
2001,BARRA-R2,3.07,2.46,5.16,4.81,0.64,0.05,0.42,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,BARRA-R2,4.63,6.0,15.38,5.62,13.85,1.88,17.79,12.54,0.0,0.0,6.0,0.0,0.0,7.0,0.0
2003,BARRA-R2,1.14,0.0,5.53,0.2,3.54,0.53,3.87,3.24,0.0,0.0,0.0,7.0,13.0,0.0,0.0
2004,BARRA-R2,13.96,0.19,4.5,9.09,2.38,0.27,1.64,4.71,0.0,0.0,6.0,0.0,0.0,0.0,0.0
2005,BARRA-R2,10.7,4.29,9.91,11.29,11.09,2.64,14.21,11.08,7.0,0.0,0.0,29.0,0.0,6.0,7.0
2006,BARRA-R2,6.54,2.2,7.39,3.68,1.64,0.36,6.11,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,BARRA-R2,3.04,1.76,7.53,0.31,5.54,3.75,9.23,5.58,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2008,BARRA-R2,3.06,6.73,0.17,5.74,4.82,1.79,3.41,3.49,0.0,0.0,0.0,13.0,0.0,13.0,0.0
2009,BARRA-R2,12.99,12.14,14.15,16.18,6.79,1.68,15.17,11.88,0.0,0.0,9.0,8.0,0.0,15.0,0.0
2010,BARRA-R2,0.52,3.28,3.08,0.04,3.6,0.73,0.81,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,BARRA-R2,4.46,4.23,0.2,4.9,0.77,8.67,0.3,1.65,0.0,6.0,0.0,0.0,0.0,7.0,6.0
2012,BARRA-R2,0.2,0.0,0.72,1.04,0.47,0.01,2.02,0.82,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2013,BARRA-R2,5.59,4.84,13.77,10.27,6.32,10.66,19.95,10.82,6.0,0.0,0.0,6.0,0.0,0.0,6.0
2014,BARRA-R2,14.59,7.61,8.11,6.89,4.26,1.72,2.07,6.23,9.0,10.0,0.0,6.0,9.0,9.0,0.0
2015,BARRA-R2,1.06,1.23,12.97,2.35,7.88,1.65,10.09,7.74,0.0,0.0,0.0,0.0,7.0,6.0,0.0
2016,BARRA-R2,13.83,5.77,17.55,0.5,4.63,2.51,11.88,9.26,0.0,0.0,28.0,52.0,0.0,0.0,8.0
2017,BARRA-R2,7.54,0.65,24.43,5.34,6.41,7.74,10.4,10.99,0.0,0.0,0.0,15.0,10.0,6.0,7.0
2018,BARRA-R2,22.48,4.27,12.62,8.06,6.24,1.47,4.99,9.28,0.0,0.0,7.0,7.0,8.0,0.0,0.0
2019,BARRA-R2,21.84,7.78,15.95,21.51,25.77,0.9,30.91,22.76,0.0,7.0,0.0,7.0,20.0,13.0,0.0
2020,BARRA-R2,4.36,0.03,8.49,0.65,20.42,0.0,18.13,12.35,0.0,0.0,0.0,30.0,9.0,0.0,0.0
2021,BARRA-R2,0.1,0.45,4.74,0.74,7.77,0.61,8.16,5.18,0.0,0.0,0.0,6.0,13.0,0.0,0.0
2022,BARRA-R2,0.14,0.06,11.25,1.22,3.46,0.47,15.62,6.59,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2023,BARRA-R2,21.49,5.55,10.12,6.67,9.58,0.7,2.95,9.21,6.0,12.0,6.0,0.0,14.0,0.0,0.0
2024,BARRA-R2,5.09,4.32,11.35,4.32,14.78,5.27,7.89,10.06,0.0,0.0,9.0,10.0,13.0,0.0,0.0
